205
0	7.8368	9.2938
1	9.6765	6.8404
2	4.2288	5.7563
3	2.8514	7.7367
4	5.1072	5.0629
5	4.0412	3.0139
6	2.5618	3.2233
7	1.715	5.2865
8	9.8316	9.7208
9	9.9983	1.0301
10	4.6358	9.3785
11	9.1693	6.8216
12	7.6832	3.9111
13	3.6261	6.9262
14	9.7594	8.0561
15	2.4348	1.4641
16	8.9482	9.1592
17	2.0537	2.4325
18	6.9849	5.7412
19	3.7	9.245
20	2.127	4.9648
21	6.2329	5.0197
22	6.6034	3.0649
23	8.9999	6.2143
24	2.0898	9.2515
25	0.1554	4.0101
26	5.9152	7.682
27	9.4333	3.043
28	3.3562	7.4598
29	2.4544	4.3928
30	5.5554	8.3194
31	0.7647	8.0707
32	1.6348	1.8272
33	9.6226	3.8276
34	6.9875	4.8864
35	1.9187	6.8003
36	3.9333	5.3732
37	2.6131	6.7998
38	3.2754	6.4603
39	3.4741	8.946
40	4.8832	7.7336
41	8.0576	3.2219
42	4.4074	6.9504
43	6.989	8.4811
44	3.0653	9.1456
45	3.3144	2.8208
46	1.0682	6.8693
47	9.3255	3.8555
48	4.2263	4.2818
49	6.3462	2.7393
50	5.8557	7.9342
51	8.037	5.1515
52	1.1579	2.9587
53	7.2777	9.8613
54	7.8834	0.8383
55	4.3535	3.9168
56	1.8071	1.2471
57	1.8277	8.1919
58	4.0155	8.7037
59	5.2616	3.1812
60	2.9516	7.7062
61	0.869	2.4003
62	4.1523	0.0729
63	0.137	4.1454
64	2.1031	6.9037
65	7.2936	6.7118
66	9.0533	5.4089
67	7.625	0.4763
68	4.0683	2.2426
69	1.5411	6.6054
70	7.7693	4.9233
71	6.095	1.2336
72	4.3123	5.7714
73	6.1455	3.7761
74	5.2232	4.3638
75	9.5883	1.4178
76	5.1964	9.1834
77	8.8907	5.9682
78	1.9187	8.0622
79	5.5893	2.6789
80	9.4101	9.0343
81	0.1971	5.1312
82	1.0508	5.3213
83	3.2434	1.8735
84	5.6345	1.8974
85	8.2771	2.1903
86	5.2143	6.5705
87	2.0654	2.2196
88	2.975	4.1971
89	0.353	5.2644
90	7.0681	0.3062
91	4.0502	4.345
92	5.5177	7.0253
93	9.9812	7.9908
94	4.9368	8.5241
95	8.2744	0.5046
96	9.2702	9.5733
97	8.1976	8.276
98	1.1137	2.6284
99	2.2644	6.1407
100	8.2052	0.2762
101	3.543	5.6551
102	1.2285	8.9234
103	9.343	2.7538
104	7.6965	1.7498
105	3.8143	2.4603
106	3.0138	0.2605
107	7.0226	9.0893
108	0.0733	9.2473
109	2.8801	6.521
110	0.6916	4.6065
111	9.5492	1.6693
112	3.1321	1.95
113	3.8536	7.7448
114	4.4217	3.9652
115	8.3307	1.6495
116	7.3542	0.0152
117	9.3493	8.1482
118	6.7522	5.2512
119	0.6144	6.7938
120	8.0873	1.8407
121	3.207	7.9305
122	9.4567	7.1484
123	5.015	8.4319
124	5.7838	6.0305
125	3.532	8.8838
126	4.4998	1.0698
127	6.4868	3.3653
128	6.7404	2.8383
129	4.4377	4.0854
130	3.675	6.2925
131	5.1143	8.0903
132	1.184	3.5781
133	7.2149	3.3357
134	1.9002	1.9676
135	6.9068	8.4892
136	4.1511	1.6537
137	4.273	2.6528
138	1.3736	0.6138
139	1.7392	0.324
140	4.8751	7.6687
141	5.2948	8.3206
142	6.7909	6.1661
143	5.2304	7.008
144	7.3876	4.3052
145	2.3473	5.213
146	4.6701	3.7466
147	7.5145	8.6537
148	1.8435	3.3718
149	2.8669	1.5657
150	2.8462	9.7126
151	7.4584	2.3977
152	8.9082	1.1905
153	2.2166	0.1938
154	4.5189	7.4277
155	1.817	3.6179
156	0.6357	8.8595
157	8.3945	4.816
158	4.0239	7.3102
159	6.0668	2.7054
160	3.0705	3.5328
161	1.2513	2.1032
162	8.6041	5.05
163	6.3915	7.9421
164	1.0811	3.6829
165	2.539	6.0032
166	8.2879	8.4878
167	7.346	3.1655
168	3.6225	8.6576
169	3.1275	1.8509
170	7.7231	9.2783
171	3.1812	4.0928
172	3.2926	0.9421
173	7.6069	3.0772
174	9.439	5.5997
175	9.6152	7.1998
176	1.3185	3.2697
177	5.0586	9.4265
178	3.4033	3.4333
179	0.0509	9.2772
180	3.6663	1.6698
181	4.8263	5.4514
182	0.2844	4.3796
183	9.7312	9.2472
184	3.1964	0.346
185	4.0104	5.1139
186	1.0085	2.6615
187	9.9566	2.4432
188	5.158	4.8941
189	7.0698	3.2802
190	3.1913	3.6635
191	5.5797	8.7648
192	7.1303	5.0729
193	0.3163	9.938
194	5.3557	9.2116
195	0.6064	6.4493
196	2.4535	3.8526
197	0.6856	3.6285
198	2.5333	9.1129
199	0.4141	4.8428
200	4.1707	7.1855
201	4.5085	7.1107
202	3.6519	0.7117
203	8.0761	1.1714
204	5.3519	9.0548
